[2026-05-29--17-05-18 INFO actix_server::builder] starting 5 workers
[2026-05-29--17-05-18 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-29--17-05-18 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-29--17-05-19 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-29--17-05-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59015.
[2026-05-29--17-06-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 4593 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.014836
[2026-05-29--17-06-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/surfpool.svg HTTP/1.1" 200 6281 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.001058
[2026-05-29--17-06-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000377
[2026-05-29--17-06-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/55d90b160440e92e.css HTTP/1.1" 200 29946 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.004324
[2026-05-29--17-06-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-80204062da241935.js HTTP/1.1" 200 4830 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000702
[2026-05-29--17-06-04 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-868ea075468a4ecd.js HTTP/1.1" 200 220 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.000238
[2026-05-29--17-06-04 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/5584-3264889a74d886e0.js HTTP/1.1" 200 44668 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.004904
[2026-05-29--17-06-04 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/08b39ec4-b928729c1809cb2c.js HTTP/1.1" 200 2705 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.002662
[2026-05-29--17-06-04 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/c3a130cb-0cbedf9e5abf799a.js HTTP/1.1" 200 55444 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.007787
[2026-05-29--17-06-04 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/2616-88479981e87cde1a.js HTTP/1.1" 200 8492 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.121.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36" 0.005509
